399: Additional findings health related: id=399; version=0.114; signedoff=False; is_superpanel=False
933: Additional findings health related - adults: id=933; version=2.2; signedoff=False; is_superpanel=True
929: Additional findings health related - adult specific: id=929; version=1.2; signedoff=False; is_superpanel=False
930: Additional findings health related - children: id=930; version=1.0; signedoff=False; is_superpanel=False
934: Additional findings health related - CNV analysis adults: id=934; version=2.2; signedoff=False; is_superpanel=True
931: Additional findings health related - CNV analysis adult specific: id=931; version=1.2; signedoff=False; is_superpanel=False
932: Additional findings health related - CNV analysis children: id=932; version=1.0; signedoff=False; is_superpanel=False
774: Additional findings reproductive carrier status: id=774; version=1.0; signedoff=False; is_superpanel=False
540: Adult onset movement disorder: id=540; version=1.168; signedoff=False; is_superpanel=False
245: Adult solid tumours cancer susceptibility: id=245; version=2.19; signedoff=False; is_superpanel=False
391: Adult solid tumours for rare disease: id=391; version=1.32; signedoff=False; is_superpanel=False
511: Albinism or congenital nystagmus: id=511; version=1.22; signedoff=False; is_superpanel=False
269: Amelogenesis imperfecta: id=269; version=2.19; signedoff=False; is_superpanel=False
502: Amyloidosis: id=502; version=1.12; signedoff=False; is_superpanel=False
263: Amyotrophic lateral sclerosis/motor neuron disease: id=263; version=1.56; signedoff=False; is_superpanel=False
510: Aniridia: id=510; version=2.15; signedoff=False; is_superpanel=False
34: Anophthalmia or microphthalmia: id=34; version=1.45; signedoff=False; is_superpanel=False
134: Arrhythmogenic cardiomyopathy: id=134; version=2.15; signedoff=False; is_superpanel=False
258: Arthrogryposis: id=258; version=3.158; signedoff=False; is_superpanel=False
477: Ataxia and cerebellar anomalies - narrow panel: id=477; version=2.289; signedoff=False; is_superpanel=False
139: Atypical haemolytic uraemic syndrome: id=139; version=2.10; signedoff=False; is_superpanel=False
260: Auditory Neuropathy Spectrum Disorde: id=260; version=1.8; signedoff=False; is_superpanel=False
657: Autism: id=657; version=0.22; signedoff=False; is_superpanel=False
282: Autosomal recessive congenital ichthyosis: id=282; version=1.14; signedoff=False; is_superpanel=False
557: Autosomal recessive primary hypertrophic osteoarthropathy: id=557; version=1.9; signedoff=False; is_superpanel=False
543: Bardet Biedl syndrome: id=543; version=1.13; signedoff=False; is_superpanel=False
38: Beckwith-Wiedemann syndrome (BWS) and other congenital overgrowth disorders: id=38; version=1.116; signedoff=False; is_superpanel=False
208: Bladder cancer pertinent cancer susceptibility: id=208; version=1.1; signedoff=False; is_superpanel=False
545: Bleeding and platelet disorders: id=545; version=1.37; signedoff=False; is_superpanel=False
166: Brain cancer pertinent cancer susceptibility: id=166; version=1.2; signedoff=False; is_superpanel=False
90: Brain channelopathy: id=90; version=1.78; signedoff=False; is_superpanel=False
55: Breast cancer pertinent cancer susceptibility: id=55; version=1.6; signedoff=False; is_superpanel=False
13: Brugada syndrome: id=13; version=2.33; signedoff=False; is_superpanel=False
234: CAKUT: id=234; version=1.167; signedoff=False; is_superpanel=False
842: Cardiac arrhythmias: id=842; version=6.116; signedoff=False; is_superpanel=True
843: Cardiac arrhythmias - additional genes: id=843; version=1.15; signedoff=False; is_superpanel=False
749: Cardiomyopathies - including childhood onset: id=749; version=1.68; signedoff=False; is_superpanel=False
230: Cataracts: id=230; version=2.104; signedoff=False; is_superpanel=False
214: Catecholaminergic polymorphic VT: id=214; version=2.19; signedoff=False; is_superpanel=False
286: Cerebellar hypoplasia: id=286; version=1.62; signedoff=False; is_superpanel=False
109: Cerebral folate deficiency: id=109; version=1.2; signedoff=False; is_superpanel=False
491: Cerebral malformations: id=491; version=5.185; signedoff=False; is_superpanel=True
147: Cerebral vascular malformations: id=147; version=2.59; signedoff=False; is_superpanel=False
745: CHARGE syndrome: id=745; version=0.11; signedoff=False; is_superpanel=False
847: Childhood onset dystonia or chorea or related movement disorder: id=847; version=1.225; signedoff=False; is_superpanel=False
259: Childhood solid tumours cancer susceptibility: id=259; version=1.19; signedoff=False; is_superpanel=False
221: Choanal atresia: id=221; version=1.16; signedoff=False; is_superpanel=False
544: Cholestasis: id=544; version=1.106; signedoff=False; is_superpanel=False
30: Chondrodysplasia punctata: id=30; version=1.5; signedoff=False; is_superpanel=False
197: Classical tuberous sclerosis: id=197; version=1.2; signedoff=False; is_superpanel=False
81: Clefting: id=81; version=2.66; signedoff=False; is_superpanel=False
210: ClinGen_Familial thoracic aortic aneurysm and aortic dissection: id=210; version=0.10; signedoff=False; is_superpanel=False
64: ClinGen Gene Validity Curations: id=64; version=0.64; signedoff=False; is_superpanel=False
244: Colorectal cancer pertinent cancer susceptibility: id=244; version=1.0; signedoff=False; is_superpanel=False
517: Combined factor V and VIII deficiency: id=517; version=1.6; signedoff=False; is_superpanel=False
507: Common craniosynostosis syndromes: id=507; version=1.13; signedoff=False; is_superpanel=False
508: Confirmed Fanconi anaemia or Bloom syndrome: id=508; version=1.16; signedoff=False; is_superpanel=False
145: Congenital adrenal hypoplasia: id=145; version=2.9; signedoff=False; is_superpanel=False
25: Congenital disorders of glycosylation: id=25; version=2.82; signedoff=False; is_superpanel=False
512: Congenital fibrosis of the extraocular muscles: id=512; version=1.12; signedoff=False; is_superpanel=False
308: Congenital hyperinsulinism: id=308; version=2.8; signedoff=False; is_superpanel=False
31: Congenital hypothyroidism: id=31; version=2.10; signedoff=False; is_superpanel=False
207: Congenital muscular dystrophy: id=207; version=2.27; signedoff=False; is_superpanel=False
232: Congenital myaesthenic syndrome: id=232; version=2.39; signedoff=False; is_superpanel=False
225: Congenital myopathy: id=225; version=2.83; signedoff=False; is_superpanel=False
250: Corneal abnormalities: id=250; version=1.12; signedoff=False; is_superpanel=False
658: Corneal dystrophies: id=658; version=1.10; signedoff=False; is_superpanel=False
111: COVID-19 research: id=111; version=1.122; signedoff=False; is_superpanel=False
168: Craniosynostosis: id=168; version=2.68; signedoff=False; is_superpanel=False
5: Currarino triad: id=5; version=1.1; signedoff=False; is_superpanel=False
560: Cutaneous photosensitivity with a likely genetic cause: id=560; version=1.10; signedoff=False; is_superpanel=False
283: Cystic kidney disease: id=283; version=2.41; signedoff=False; is_superpanel=False
487: Cystic renal disease: id=487; version=3.121; signedoff=False; is_superpanel=True
519: Cytopenia - NOT Fanconi anaemia: id=519; version=1.57; signedoff=False; is_superpanel=False
159: Cytopenias and congenital anaemias: id=159; version=1.103; signedoff=False; is_superpanel=False
